M,K,N,BLOCK_M,BLOCK_K,BLOCK_N,NUM_STAGES,NUM_WARPS,GROUP_M,do_bench_time
SAME
--------------------
768,512,768,32,16,32,1,2,8,0.035711999982595444
768,512,768,32,128,32,2,4,8,0.025312000885605812
768,512,768,32,32,64,5,8,8,0.025439999997615814
768,512,768,64,32,32,5,8,8,0.025407999753952026
768,512,768,64,128,32,5,4,8,0.025248000398278236
768,512,768,64,16,64,2,4,8,0.03500799834728241
768,512,768,64,32,64,2,4,8,0.027488000690937042
768,512,768,64,64,64,3,8,8,0.02550400048494339
768,512,768,64,128,64,5,4,8,0.024447999894618988
768,512,768,64,32,128,3,4,8,0.024351999163627625
768,512,768,64,32,128,4,8,8,0.024383999407291412
768,512,768,64,64,128,3,4,8,0.024607999250292778
768,512,768,64,128,128,4,4,8,0.023615999147295952
768,512,768,128,32,64,3,4,8,0.024191999807953835
768,512,768,128,32,64,4,8,8,0.023552000522613525
768,512,768,128,32,128,2,8,8,0.027712000533938408
768,512,768,128,32,128,3,4,8,0.024831999093294144
768,512,768,128,64,128,3,4,8,0.024639999493956566
768,512,768,128,64,128,5,8,8,0.024447999894618988
SAME
--------------------
1024,4096,128,32,16,32,1,2,8,0.12601600587368011
1024,4096,128,32,128,32,2,4,8,0.04793599992990494
1024,4096,128,32,32,64,5,8,8,0.04412800073623657
1024,4096,128,64,32,32,5,8,8,0.04464000090956688
1024,4096,128,64,128,32,5,4,8,0.02860799990594387
1024,4096,128,64,16,64,2,4,8,0.14553600549697876
1024,4096,128,64,32,64,2,4,8,0.09804800152778625
1024,4096,128,64,64,64,3,8,8,0.043616000562906265
1024,4096,128,64,128,64,5,4,8,0.027583999559283257
1024,4096,128,64,32,128,3,4,8,0.06464000046253204
1024,4096,128,64,32,128,4,8,8,0.05110400170087814
1024,4096,128,64,64,128,3,4,8,0.04335999861359596
1024,4096,128,64,128,128,4,4,8,0.03033600002527237
1024,4096,128,128,32,64,3,4,8,0.06675200164318085
1024,4096,128,128,32,64,4,8,8,0.05260799825191498
1024,4096,128,128,32,128,2,8,8,0.1061440035700798
1024,4096,128,128,32,128,3,4,8,0.0687360018491745
1024,4096,128,128,64,128,3,4,8,0.04575999826192856
1024,4096,128,128,64,128,5,8,8,0.03862399980425835
SAME
--------------------
50265,1024,1024,32,16,32,1,2,8,1.3022079467773438
50265,1024,1024,32,128,32,2,4,8,0.7451840043067932
50265,1024,1024,32,32,64,5,8,8,0.895039975643158
50265,1024,1024,64,32,32,5,8,8,0.779807984828949
50265,1024,1024,64,128,32,5,4,8,0.5797439813613892
50265,1024,1024,64,16,64,2,4,8,0.4419519901275635
50265,1024,1024,64,32,64,2,4,8,0.32556799054145813
50265,1024,1024,64,64,64,3,8,8,0.3256959915161133
50265,1024,1024,64,128,64,5,4,8,0.35791999101638794
50265,1024,1024,64,32,128,3,4,8,0.2417600005865097
50265,1024,1024,64,32,128,4,8,8,0.2624959945678711
50265,1024,1024,64,64,128,3,4,8,0.23254400491714478
50265,1024,1024,64,128,128,4,4,8,0.28307199478149414
50265,1024,1024,128,32,64,3,4,8,0.26815998554229736
50265,1024,1024,128,32,64,4,8,8,0.2715519964694977
50265,1024,1024,128,32,128,2,8,8,0.3007679879665375
50265,1024,1024,128,32,128,3,4,8,0.2136320024728775
50265,1024,1024,128,64,128,3,4,8,0.21667200326919556
50265,1024,1024,128,64,128,5,8,8,0.21065600216388702
SAME
--------------------
256,1024,1024,32,16,32,1,2,8,0.05196800082921982
256,1024,1024,32,128,32,2,4,8,0.025728000327944756
256,1024,1024,32,32,64,5,8,8,0.022911999374628067
256,1024,1024,64,32,32,5,8,8,0.02489599958062172
256,1024,1024,64,128,32,5,4,8,0.024032000452280045
256,1024,1024,64,16,64,2,4,8,0.05305600166320801
256,1024,1024,64,32,64,2,4,8,0.03619199991226196
256,1024,1024,64,64,64,3,8,8,0.02505600079894066
256,1024,1024,64,128,64,5,4,8,0.023264000192284584
256,1024,1024,64,32,128,3,4,8,0.027936000376939774
256,1024,1024,64,32,128,4,8,8,0.02486399933695793
256,1024,1024,64,64,128,3,4,8,0.025536000728607178
256,1024,1024,64,128,128,4,4,8,0.02470399998128414
256,1024,1024,128,32,64,3,4,8,0.031039999797940254
256,1024,1024,128,32,64,4,8,8,0.02470399998128414
256,1024,1024,128,32,128,2,8,8,0.04118400067090988
256,1024,1024,128,32,128,3,4,8,0.03286400064826012
256,1024,1024,128,64,128,3,4,8,0.028736000880599022
256,1024,1024,128,64,128,5,8,8,0.024800000712275505
SAME
--------------------
4096,2048,1024,32,16,32,1,2,8,0.22233599424362183
4096,2048,1024,32,128,32,2,4,8,0.12361600250005722
4096,2048,1024,32,32,64,5,8,8,0.14857600629329681
4096,2048,1024,64,32,32,5,8,8,0.1287039965391159
4096,2048,1024,64,128,32,5,4,8,0.10393600165843964
4096,2048,1024,64,16,64,2,4,8,0.10396800190210342
4096,2048,1024,64,32,64,2,4,8,0.07023999840021133
4096,2048,1024,64,64,64,3,8,8,0.05830400064587593
4096,2048,1024,64,128,64,5,4,8,0.0671359971165657
4096,2048,1024,64,32,128,3,4,8,0.052799999713897705
4096,2048,1024,64,32,128,4,8,8,0.052032001316547394
4096,2048,1024,64,64,128,3,4,8,0.05708799883723259
4096,2048,1024,64,128,128,4,4,8,0.05564799904823303
4096,2048,1024,128,32,64,3,4,8,0.054687999188899994
4096,2048,1024,128,32,64,4,8,8,0.05564799904823303
4096,2048,1024,128,32,128,2,8,8,0.0737600028514862
4096,2048,1024,128,32,128,3,4,8,0.05484800040721893
4096,2048,1024,128,64,128,3,4,8,0.046112000942230225
4096,2048,1024,128,64,128,5,8,8,0.048767998814582825
SAME
--------------------
512,32000,768,32,16,32,1,2,8,1.0601600408554077
512,32000,768,32,128,32,2,4,8,0.24931199848651886
512,32000,768,32,32,64,5,8,8,0.28336000442504883
512,32000,768,64,32,32,5,8,8,0.23676800727844238
512,32000,768,64,128,32,5,4,8,0.15318399667739868
512,32000,768,64,16,64,2,4,8,1.15830397605896
512,32000,768,64,32,64,2,4,8,0.6425279974937439
512,32000,768,64,64,64,3,8,8,0.20876799523830414
512,32000,768,64,128,64,5,4,8,0.1005759984254837
512,32000,768,64,32,128,3,4,8,0.35231998562812805
512,32000,768,64,32,128,4,8,8,0.2518720030784607
512,32000,768,64,64,128,3,4,8,0.2077759951353073
512,32000,768,64,128,128,4,4,8,0.1125440001487732
512,32000,768,128,32,64,3,4,8,0.37459200620651245
512,32000,768,128,32,64,4,8,8,0.26416000723838806
512,32000,768,128,32,128,2,8,8,0.7300159931182861
512,32000,768,128,32,128,3,4,8,0.3882560133934021
512,32000,768,128,64,128,3,4,8,0.2253119945526123
512,32000,768,128,64,128,5,8,8,0.16444799304008484
SAME
--------------------
768,4096,2304,32,16,32,1,2,8,0.19020800292491913
768,4096,2304,32,128,32,2,4,8,0.10963200032711029
768,4096,2304,32,32,64,5,8,8,0.12902399897575378
768,4096,2304,64,32,32,5,8,8,0.11276800185441971
768,4096,2304,64,128,32,5,4,8,0.0928959995508194
768,4096,2304,64,16,64,2,4,8,0.16771200299263
768,4096,2304,64,32,64,2,4,8,0.11081600189208984
768,4096,2304,64,64,64,3,8,8,0.06345599889755249
768,4096,2304,64,128,64,5,4,8,0.06614399701356888
768,4096,2304,64,32,128,3,4,8,0.07228799909353256
768,4096,2304,64,32,128,4,8,8,0.060416001826524734
768,4096,2304,64,64,128,3,4,8,0.053408000618219376
768,4096,2304,64,128,128,4,4,8,0.0560000017285347
768,4096,2304,128,32,64,3,4,8,0.07487999647855759
768,4096,2304,128,32,64,4,8,8,0.061216000467538834
768,4096,2304,128,32,128,2,8,8,0.11337599903345108
768,4096,2304,128,32,128,3,4,8,0.07513599842786789
768,4096,2304,128,64,128,3,4,8,0.05446400120854378
768,4096,2304,128,64,128,5,8,8,0.04438399896025658
SAME
--------------------
256,1024,4096,32,16,32,1,2,8,0.05724800005555153
256,1024,4096,32,128,32,2,4,8,0.03846399858593941
256,1024,4096,32,32,64,5,8,8,0.037408001720905304
256,1024,4096,64,32,32,5,8,8,0.035232000052928925
256,1024,4096,64,128,32,5,4,8,0.03248000144958496
256,1024,4096,64,16,64,2,4,8,0.05798399820923805
256,1024,4096,64,32,64,2,4,8,0.04188799858093262
256,1024,4096,64,64,64,3,8,8,0.028063999488949776
256,1024,4096,64,128,64,5,4,8,0.02831999957561493
256,1024,4096,64,32,128,3,4,8,0.03190400078892708
256,1024,4096,64,32,128,4,8,8,0.02876799926161766
256,1024,4096,64,64,128,3,4,8,0.027135999873280525
256,1024,4096,64,128,128,4,4,8,0.02672000043094158
256,1024,4096,128,32,64,3,4,8,0.03484800085425377
256,1024,4096,128,32,64,4,8,8,0.028736000880599022
256,1024,4096,128,32,128,2,8,8,0.043455999344587326
256,1024,4096,128,32,128,3,4,8,0.03593600168824196
256,1024,4096,128,64,128,3,4,8,0.031968001276254654
256,1024,4096,128,64,128,5,8,8,0.026655999943614006
SAME
--------------------
2048,512,30522,32,16,32,1,2,8,0.8426240086555481
2048,512,30522,32,128,32,2,4,8,0.6866559982299805
2048,512,30522,32,32,64,5,8,8,0.7557439804077148
