M, K, N, benchmarking, precompiling, num_choices
768, 512, 768, 0.4855, 2.2338, 19
1024, 4096, 128, 0.6767, 0.6000, 19
50265, 1024, 1024, 0.7920, 22.0686, 19
256, 1024, 1024, 0.5557, 21.8740, 19
4096, 2048, 1024, 0.5374, 96.9534, 19
512, 32000, 768, 4.8658, 0.3448, 24
768, 4096, 2304, 0.5285, 0.3913, 19
256, 1024, 4096, 0.5438, 22.3499, 19
2048, 512, 30522, 0.7893, 3.7902, 19
32005, 512, 768, 0.5709, 2.3510, 19
256, 8192, 256, 4.3238, 0.3507, 24
512, 768, 50257, 0.7752, 0.6592, 19
50265, 8192, 512, 0.8891, 0.3606, 19
2048, 1024, 1024, 0.5179, 22.2513, 19
2048, 1024, 4096, 0.5372, 22.5674, 19
768, 16, 768, 0.4310, 0.2269, 16
30000, 1024, 128, 0.5301, 22.3141, 19
1024, 4096, 1024, 0.5281, 0.3532, 19
2048, 50272, 768, 0.8198, 0.3642, 19
4096, 768, 3072, 0.5667, 8.3737, 19
1024, 4096, 4096, 0.5932, 0.3851, 19
2, 2048, 768, 0.4644, 0.2973, 17
768, 4096, 3072, 0.5537, 0.3868, 19
8192, 768, 3072, 0.6082, 8.3863, 19
2048, 50272, 1024, 0.8396, 0.4101, 19
512, 30522, 128, 2.8162, 0.4855, 22
2, 32768, 256, 6.4162, 0.2618, 24
1024, 2, 1024, 0.4423, 0.2223, 16
4096, 2, 512, 0.4365, 0.2363, 16
2, 512, 1536, 0.4630, 0.2869, 17
3072, 4096, 768, 0.5831, 0.3902, 19
1024, 2, 4096, 0.4536, 0.2458, 16
512, 768, 768, 0.5032, 8.3297, 19
768, 512, 2304, 0.5565, 2.5164, 19
4096, 2, 768, 0.4367, 0.2043, 16
4096, 768, 768, 0.5345, 8.3471, 19
128100, 512, 1536, 0.8160, 2.4700, 19
30522, 512, 128, 0.5155, 2.4364, 19
768, 4096, 768, 0.5556, 0.3460, 19
4096, 768, 2, 0.4485, 0.2228, 16
8192, 2, 768, 0.4563, 0.2105, 16
4096, 512, 128, 0.5034, 2.4398, 19
512, 30522, 768, 3.0574, 0.4783, 22
32000, 2048, 1024, 0.8058, 98.3177, 19
1024, 4096, 16384, 0.8071, 0.3938, 19
1024, 32768, 256, 5.7376, 0.3932, 24
512, 3072, 768, 0.5447, 18.3631, 19
4096, 512, 384, 0.5282, 2.4205, 19
1024, 2048, 1024, 0.5320, 98.9287, 19
128, 2048, 50257, 0.7482, 0.6964, 19
2, 4096, 512, 0.4764, 0.3540, 17
1024, 2048, 4096, 0.5458, 99.0186, 19
768, 2048, 3072, 0.5133, 98.1584, 19
512, 1536, 1536, 0.5175, 91.8569, 19
768, 512, 3072, 0.5296, 2.3834, 19
128, 2048, 128, 0.5268, 98.1694, 19
30522, 512, 768, 0.5773, 2.4950, 19
128, 512, 256, 0.5143, 2.4542, 19
512, 256, 128, 0.5189, 0.8224, 19
3072, 2048, 768, 0.5135, 99.2226, 19
3072, 512, 768, 0.5332, 2.5116, 19
512, 256, 256, 0.5155, 0.8238, 19
128, 2048, 512, 0.5138, 98.7702, 19
30522, 2048, 768, 0.7738, 97.6239, 19
768, 2048, 768, 0.5211, 98.5446, 19
256, 256008, 1024, 4.7207, 0.3919, 24
8192, 512, 50272, 0.9394, 2.4690, 19
128, 2048, 2, 0.4369, 0.5224, 16
50005, 1024, 768, 0.7533, 22.0671, 19
10000, 8192, 256, 0.6554, 0.4301, 19
512, 6144, 1536, 0.5424, 0.4021, 19
2048, 1024, 50272, 0.8390, 22.0050, 19
512, 128, 256, 0.5231, 0.4470, 19
512, 1024, 1024, 0.5304, 21.7671, 19
512, 256, 1024, 0.5263, 0.8599, 19
32768, 2, 256, 0.4424, 0.2277, 16
512, 8192, 512, 0.5625, 0.3714, 19
50272, 512, 768, 0.6307, 2.5281, 19
29056, 256, 1024, 0.5627, 0.8787, 19
512, 1024, 4096, 0.5358, 23.0929, 19
